xs is  [20. 20. 20.]
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74152549 21.59854586] -5.864362712706337 1 1567708693.7513433
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74571208 21.59555358] -5.864362719120086 1 1567708718.701015
!!!!!!!!!!!!!!  at minimum: [ 6.81151456  1.         19.19349642] -5.852762649749523 1 1567708735.8086355
!!!!!!!!!!!!!!  at minimum: [ 1.          5.7459026  21.59540646] -5.8643627191630205 1 1567708764.2914197
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74611253 21.59525395] -5.864362719174951 1 1567708775.794579
!!!!!!!!!!!!!!  at minimum: [ 1.          5.75751799 21.58694438] -5.864362678865704 1 1567708794.2397158
!!!!!!!!!!!!!!  at minimum: [ 1.          5.7461853  21.59519922] -5.86436271917394 1 1567708812.6564581
!!!!!!!!!!!!!!  at minimum: [51.03101382 73.70839723 18.83014883] -5.258605117560744 0 1567708831.8820472
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74874527 21.59329476] -5.864362716974014 1 1567708856.6790707
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74584456 21.59545034] -5.864362719153594 1 1567708882.9329138
!!!!!!!!!!!!!!  at minimum: [ 1.          5.7464019  21.59503698] -5.8643627191500665 1 1567708892.891231
!!!!!!!!!!!!!!  at minimum: [51.01385115 73.73136201 18.82583073] -5.258605054840938 0 1567708912.1564193
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74612372 21.59523366] -5.864362719179177 1 1567708925.6354752
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74590226 21.59540663] -5.864362719163039 1 1567708950.547611
!!!!!!!!!!!!!!  at minimum: [51.03184769 73.71025095 18.82818498] -5.258605120128292 0 1567708966.2231548
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74748544 21.59408112] -5.864362717813633 1 1567708984.6460488
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74554782 21.59568139] -5.864362719059758 1 1567708996.7282553
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74587402 21.59542948] -5.86436271915752 1 1567709023.2001843
!!!!!!!!!!!!!!  at minimum: [51.02668574 73.71347104 18.829433  ] -5.258605113637551 0 1567709036.0141718
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74550307 21.59570176] -5.864362719060577 1 1567709045.2124188
!!!!!!!!!!!!!!  at minimum: [  1.          29.2860209  106.24750103] -4.829228552736228 0 1567709058.7111523
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74603631 21.59529886] -5.864362719178091 1 1567709078.5765448
!!!!!!!!!!!!!!  at minimum: [51.03289357 73.70964429 18.82778244] -5.258605119899849 0 1567709094.189545
!!!!!!!!!!!!!!  at minimum: [  1.         129.5860355   20.23511941] -5.229849108927317 0 1567709111.9665077
!!!!!!!!!!!!!!  at minimum: [ 1.          5.73984406 21.59965382] -5.864362706592339 1 1567709132.5066578
!!!!!!!!!!!!!!  at minimum: [51.03785263 73.69465515 18.83532292] -5.258605081229909 0 1567709146.6943283
!!!!!!!!!!!!!!  at minimum: [51.03281137 73.70778339 18.82937508] -5.258605118784389 0 1567709168.7256367
!!!!!!!!!!!!!!  at minimum: [31.46622175 67.66651823 37.9199176 ] -5.045985576137734 0 1567709186.5017178
!!!!!!!!!!!!!!  at minimum: [ 1.          5.75825117 21.58640335] -5.8643626735092 1 1567709204.2445755
!!!!!!!!!!!!!!  at minimum: [ 1.          5.74606232 21.59527578] -5.86436271917886 1 1567709218.4137657
[ 1.          5.74612372 21.59523366]
-5.864362719179177
