wl,n
0.667,1.4478379
0.714,1.2685432
0.769,1.1466787
0.833,1.0730870
0.909,1.0150307
1.00,0.9821499
1.05,0.9603200
1.11,0.9253053
1.18,0.9012078
1.25,0.8740663
1.33,0.8414308
1.43,0.8354757
1.54,0.8564461
1.67,0.9019896
1.82,0.9608260
2.00,1.0326738
2.11,1.1067824
2.22,1.1923530
2.35,1.2678805
2.50,1.3499202
2.67,1.4802727
2.86,1.6348171
3.08,1.8209204
3.33,2.0587589
3.64,2.3469537
4.00,2.6799222
4.44,3.1932058
5.00,3.9020861
5.71,4.9008382
6.67,6.4122619
8.00,8.7691085
10.0,12.931507
11.1,15.615760
12.5,19.058763
14.3,24.238520
16.7,31.493393
20.0,41.721911
22.2,48.392026
25.0,56.428490
28.6,66.138800
33.3,77.867703
40.0,92.016211
44.4,100.17673
50.0,109.23359
57.1,119.43744
66.7,131.25365
80.0,145.5884
100,164.07966
125,184.49663

wl,k
0.667,2.3306224
0.714,2.7919609
0.769,3.2384897
0.833,3.7362305
0.909,4.2736932
1.00,4.8873028
1.05,5.2167868
1.11,5.5894492
1.18,6.0121558
1.25,6.4776281
1.33,7.0171487
1.43,7.6548582
1.54,8.3686838
1.67,9.1771344
1.82,10.114648
2.00,11.243595
2.11,11.896174
2.22,12.595572
2.35,13.363144
2.50,14.239580
2.67,15.240124
2.86,16.359682
3.08,17.640057
3.33,19.120563
3.64,20.845754
4.00,22.915456
4.44,25.461819
5.00,28.577040
5.71,32.510917
6.67,37.643719
8.00,44.613332
10.0,54.673721
11.1,59.926459
12.5,66.350003
14.3,73.949845
16.7,82.794230
20.0,93.122866
22.2,98.921392
25.0,105.16669
28.6,111.86857
33.3,119.08288
40.0,127.08528
44.4,131.63028
50.0,136.82885
57.1,143.08774
66.7,151.08524
80.0,161.98150
100,177.86128
125,196.87085
