WL	n	k
0.000000247970	1.47450	1.75400
0.000000248940	1.47310	1.76100
0.000000249920	1.47170	1.76810
0.000000250900	1.47030	1.77540
0.000000251880	1.46900	1.78260
0.000000252870	1.46780	1.79000
0.000000253860	1.46660	1.79740
0.000000254860	1.46550	1.80490
0.000000255860	1.46440	1.81250
0.000000256860	1.46340	1.82020
0.000000257870	1.46250	1.82790
0.000000258880	1.46160	1.83570
0.000000259900	1.46080	1.84350
0.000000260920	1.46000	1.85140
0.000000261940	1.45940	1.85940
0.000000262970	1.45870	1.86750
0.000000264000	1.45820	1.87560
0.000000265040	1.45770	1.88370
0.000000266080	1.45730	1.89200
0.000000267120	1.45690	1.90030
0.000000268170	1.45670	1.90860
0.000000269220	1.45650	1.91700
0.000000270280	1.45630	1.92540
0.000000271340	1.45620	1.93390
0.000000272400	1.45620	1.94240
0.000000273470	1.45630	1.95100
0.000000274550	1.45640	1.95970
0.000000275620	1.45670	1.96840
0.000000276700	1.45690	1.97710
0.000000277790	1.45730	1.98580
0.000000278880	1.45770	1.99460
0.000000279970	1.45820	2.00350
0.000000281070	1.45870	2.01240
0.000000282170	1.45940	2.02130
0.000000283280	1.46010	2.03020
0.000000284390	1.46080	2.03920
0.000000285510	1.46170	2.04830
0.000000286630	1.46260	2.05730
0.000000287750	1.46350	2.06640
0.000000288880	1.46460	2.07550
0.000000290020	1.46570	2.08460
0.000000291150	1.46690	2.09380
0.000000292300	1.46810	2.10300
0.000000293440	1.46940	2.11220
0.000000294600	1.47080	2.12140
0.000000295750	1.47230	2.13070
0.000000296910	1.47380	2.14000
0.000000298080	1.47530	2.14930
0.000000299250	1.47700	2.15860
0.000000300420	1.47870	2.16790
0.000000301600	1.48050	2.17730
0.000000302780	1.48230	2.18660
0.000000303970	1.48420	2.19600
0.000000305160	1.48620	2.20540
0.000000306360	1.48820	2.21480
0.000000307560	1.49030	2.22420
0.000000308770	1.49240	2.23360
0.000000309980	1.49460	2.24300
0.000000311200	1.49690	2.25240
0.000000312420	1.49920	2.26190
0.000000313640	1.50160	2.27130
0.000000314870	1.50400	2.28080
0.000000316110	1.50650	2.29020
0.000000317350	1.50910	2.29970
0.000000318600	1.51170	2.30910
0.000000319850	1.51430	2.31860
0.000000321100	1.51700	2.32810
0.000000322360	1.51980	2.33750
0.000000323620	1.52260	2.34700
0.000000324890	1.52550	2.35640
0.000000326170	1.52840	2.36590
0.000000327450	1.53130	2.37540
0.000000328730	1.53430	2.38480
0.000000330020	1.53740	2.39430
0.000000331320	1.54050	2.40370
0.000000332620	1.54360	2.41320
0.000000333920	1.54680	2.42260
0.000000335230	1.55000	2.43210
0.000000336550	1.55330	2.44150
0.000000337870	1.55660	2.45090
0.000000339200	1.56000	2.46030
0.000000340530	1.56330	2.46980
0.000000341860	1.56680	2.47920
0.000000343200	1.57020	2.48860
0.000000344550	1.57370	2.49800
0.000000345900	1.57720	2.50740
0.000000347260	1.58080	2.51680
0.000000348620	1.58440	2.52610
0.000000349990	1.58800	2.53550
0.000000351360	1.59170	2.54490
0.000000352740	1.59540	2.55420
0.000000354130	1.59910	2.56360
0.000000355520	1.60280	2.57290
0.000000356910	1.60660	2.58230
0.000000358310	1.61040	2.59160
0.000000359720	1.61420	2.60090
0.000000361130	1.61810	2.61020
0.000000362540	1.62190	2.61950
0.000000363970	1.62580	2.62880
0.000000365400	1.62980	2.63810
0.000000366830	1.63370	2.64740
0.000000368270	1.63760	2.65670
0.000000369710	1.64160	2.66600
0.000000371160	1.64560	2.67530
0.000000372620	1.64960	2.68460
0.000000374080	1.65360	2.69380
0.000000375550	1.65770	2.70310
0.000000377020	1.66170	2.71240
0.000000378500	1.66580	2.72160
0.000000379990	1.66980	2.73090
0.000000381480	1.67390	2.74020
0.000000382980	1.67800	2.74940
