wl,n
0.25,1.637
0.26,1.737
0.27,2.030
0.28,2.840
0.29,4.185
0.30,5.049
0.31,5.091
0.32,5.085
0.33,5.135
0.34,5.245
0.35,5.423
0.36,5.914
0.37,6.820
0.38,6.587
0.39,6.025
0.40,5.623
0.41,5.341
0.42,5.110
0.43,4.932
0.44,4.790
0.45,4.673
0.46,4.572
0.47,4.485
0.48,4.412
0.49,4.349
0.50,4.289
0.51,4.235
0.52,4.187
0.53,4.145
0.54,4.103
0.55,4.073
0.56,4.038
0.57,4.006
0.58,3.977
0.59,3.954
0.60,3.931
0.61,3.908
0.62,3.888
0.63,3.869
0.64,3.851
0.65,3.835
0.66,3.817
0.67,3.805
0.68,3.791
0.69,3.776
0.70,3.765
0.71,3.753
0.72,3.741
0.73,3.730
0.74,3.719
0.75,3.712
0.76,3.701
0.77,3.693
0.78,3.684
0.79,3.677
0.80,3.669
0.81,3.662
0.82,3.655
0.83,3.646
0.84,3.641
0.85,3.636
0.86,3.628
0.87,3.622
0.88,3.617
0.89,3.613
0.90,3.610
0.91,3.604
0.92,3.598
0.93,3.597
0.94,3.590
0.95,3.584
0.96,3.584
0.97,3.578
0.98,3.582
0.99,3.579
1.00,3.575
1.01,3.572
1.02,3.568
1.03,3.565
1.04,3.562
1.05,3.559
1.06,3.556
1.07,3.553
1.08,3.549
1.09,3.547
1.10,3.545
1.11,3.542
1.12,3.540
1.13,3.537
1.14,3.534
1.15,3.533
1.16,3.530
1.17,3.527
1.18,3.526
1.19,3.524
1.20,3.522
1.21,3.520
1.22,3.518
1.23,3.517
1.24,3.515
1.25,3.513
1.26,3.512
1.27,3.509
1.28,3.509
1.29,3.506
1.30,3.505
1.31,3.503
1.32,3.502
1.33,3.501
1.34,3.500
1.35,3.499
1.36,3.497
1.37,3.496
1.38,3.496
1.39,3.496
1.40,3.493
1.41,3.492
1.42,3.492
1.43,3.490
1.44,3.488
1.45,3.487

wl,k
0.25,3.5889E+00
0.26,3.9932E+00
0.27,4.5958E+00
0.28,5.1961E+00
0.29,5.3124E+00
0.30,4.2900E+00
0.31,3.6239E+00
0.32,3.2824E+00
0.33,3.0935E+00
0.34,2.9573E+00
0.35,2.9078E+00
0.36,2.9135E+00
0.37,2.1403E+00
0.38,9.8399E-01
0.39,5.0308E-01
0.40,3.2627E-01
0.41,2.4127E-01
0.42,1.7694E-01
0.43,1.3766E-01
0.44,1.1201E-01
0.45,9.5362E-02
0.46,7.9105E-02
0.47,7.0240E-02
0.48,5.9817E-02
0.49,5.3810E-02
0.50,4.8542E-02
0.51,4.3831E-02
0.52,3.9531E-02
0.53,3.4804E-02
0.54,2.9896E-02
0.55,2.8038E-02
0.56,2.6551E-02
0.57,2.3746E-02
0.58,2.1896E-02
0.59,2.0076E-02
0.60,1.8521E-02
0.61,1.7257E-02
0.62,1.6809E-02
0.63,1.6268E-02
0.64,1.4693E-02
0.65,1.4447E-02
0.66,1.3608E-02
0.67,1.2807E-02
0.68,1.2045E-02
0.69,1.1317E-02
0.70,1.0623E-02
0.71,9.9610E-03
0.72,9.3335E-03
0.73,8.7312E-03
0.74,8.1618E-03
0.75,7.6156E-03
0.76,7.0942E-03
0.77,6.6054E-03
0.78,6.1338E-03
0.79,5.6888E-03
0.80,5.2655E-03
0.81,4.8640E-03
0.82,4.4836E-03
0.83,4.1235E-03
0.84,3.7828E-03
0.85,3.4605E-03
0.86,3.1563E-03
0.87,2.8697E-03
0.88,2.6001E-03
0.89,2.3464E-03
0.90,2.1092E-03
0.91,1.8864E-03
0.92,1.6787E-03
0.93,1.4757E-03
0.94,1.3061E-03
0.95,1.1393E-03
0.96,9.8243E-04
0.97,8.4060E-04
0.98,7.1334E-04
0.99,5.9638E-04
1.00,4.9020E-04
1.01,3.9616E-04
1.02,3.1437E-04
1.03,2.4048E-04
1.04,1.7959E-04
1.05,1.3043E-04
1.06,9.2450E-05
1.07,6.7820E-05
1.08,5.2168E-05
1.09,3.9770E-05
1.10,3.0217E-05
1.11,2.2913E-05
1.12,1.7068E-05
1.13,1.2382E-05
1.14,8.6210E-06
1.15,5.6876E-06
1.16,3.4275E-06
1.17,1.7653E-06
1.18,5.5561E-07
1.19,2.3153E-07
1.20,1.3904E-07
1.21,8.0863E-08
1.22,4.7940E-08
1.23,2.7132E-08
1.24,1.4318E-08
1.25,5.8798E-09
1.26,2.3352E-09
1.27,1.2714E-09
1.28,7.5284E-10
1.29,4.4799E-10
1.30,2.7228E-10
1.31,1.5856E-10
1.32,8.7196E-11
1.33,4.2039E-11
1.34,1.8128E-11
1.35,1.0428E-11
1.36,6.2911E-12
1.37,3.9030E-12
1.38,2.6367E-12
1.39,1.7377E-12
1.40,1.0428E-12
1.41,6.0422E-13
1.42,4.2895E-13
1.43,2.0381E-13
1.44,1.3785E-13
1.45,1.0901E-13
